title,price,url
Car seat cover,"₹ 6,000",https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-laal-ganesh-guwahati-iid-1816380938
2bhk flat for Sale with covered car parking,"₹ 47,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-apartments-980-sq-ft-in-pisoli-pune-iid-1816157623
Car body cover available in wholesale market price,₹ 500,https://www.olx.in/item/spare-parts-c1585-other-spare-parts-in-periyamet-chennai-iid-1813208782
Newly build 75 Sq yards home with covered car parking,"₹ 33,00,111",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-680-sq-ft-in-dabua-colony-faridabad-iid-1806490193
75 Gaj newly constructed home with covered car parking,"₹ 33,00,001",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-750-sq-ft-in-nangla-gurjan-faridabad-iid-1802577846
Hyundai Aura OE car cover for sale,₹ 700,https://www.olx.in/item/spare-parts-c1585-audio-other-accessories-in-kovilambakkam-raja-nagar-chennai-iid-1818169832
N/A,N/A,N/A
Fully furnished 3 bhk with lift and covered car parking for dispoal,"₹ 1,25,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-builder-floors-1470-sq-ft-in-raja-s-c-mullick-road-kolkata-iid-1818066760
2BHK Fully Furnished  with covered car parking near to viman Nagar,"₹ 35,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-850-sq-ft-in-kharadi-pune-iid-1818157904
"Volkswagen Taigun Waterproof Car Body Cover-UV Protection,Heavy Duty.","₹ 2,500",https://www.olx.in/item/other-household-items-c293-volkswagen-taigun-waterproof-car-body-cover-uv-protectionheavy-duty-in-srirampura-stage-2-madhuvana-layout-mysuru-iid-1818152585
107 Gaj home with covered car parking near by main market,"₹ 45,00,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-2-bhk-houses-villas-900-sq-ft-in-jawahar-colony-faridabad-iid-1789276286
Jack and tata tiago car cover,N/A,https://www.olx.in/item/other-services-c625-jack-and-tata-tiago-car-cover-in-venkateshwara-colony-hyderabad-iid-1817914675
Spacious 2BHK with covered car parking for rent,"₹ 18,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1200-sq-ft-in-medavakkam-chennai-iid-1818136585
"Back end IT office,10+ seat, covered car parking, DG, Kakkanad,EKM","₹ 25,000",https://www.olx.in/item/for-rent-shops-offices-c1731-950-sq-ft-in-padivattom-kochi-iid-1817273548
Covered car parking space for rent,"₹ 3,000",https://www.olx.in/item/for-rent-houses-apartments-c1723-apartments-300-sq-ft-in-arumbakkam-chennai-iid-1818127163
"IT back end office, kakkanad, covered car n bike parking,lift, D G","₹ 25,000",https://www.olx.in/item/for-rent-shops-offices-c1731-900-sq-ft-in-padivattom-kochi-iid-1801141258
Saligramam 3 BHK Flat for Sale with Covered Car Parking,"₹ 87,74,000",https://www.olx.in/item/for-sale-houses-apartments-c1725-3-bhk-apartments-1054-sq-ft-in-saligramam-chennai-iid-1815561937
All cars side mirror batman cover abs plastic piano black,"₹ 2,499",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-batman-cover-abs-plastic-piano-black-in-gangtok-private-estate-gangtok-iid-1804943156
All cars side mirror cover batman style abs plastic piano black,"₹ 2,500",https://www.olx.in/item/spare-parts-c1585-all-cars-side-mirror-cover-batman-style-abs-plastic-piano-black-in-anna-nagar-madurai-iid-1802991925
Car Wheel Cover 15 Inch  - 4 Piece,₹ 600,https://www.olx.in/item/spare-parts-c1585-wheels-tyres-in-kavi-nagar-jila-panchayat-colony-ghaziabad-iid-1816577525
Car accessories seat cover delivery and purchase,N/A,https://www.olx.in/item/delivery-collection-c2205-full-time-in-ayoor-kollam-iid-1818099016
One BHK semi furnished flat with covered car parking,"₹ 7,500",https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-750-sq-ft-in-idpl-colony-rishikesh-iid-1815486549
